id LogIdx EVCs(:,1) EVCs(:,2) ERs(:,1) ERs(:,2) RTs(:,1) RTs(:,2) ExpectedStateParam ActualStateParam ControlParamType_1 ControlParamType_2 ControlParamVal_1 ControlParamVal_2 CtrlIntensities_1 CtrlIntensities_2 ACC_HypotheticalBOLD_1 ACC_HypotheticalBOLD_2 ACC_HypotheticalBOLD_3 ACC_HypotheticalBOLD_4 ACC_HypotheticalBOLD_5 ACC_HypotheticalBOLD_6 ACC_HypotheticalBOLD_7 ACC_HypotheticalBOLD_8 TrialType TrialDescr condition 
10 1 69.4519 69.4519 0.31105 0.31105 0.66571 0.66571 0.48 0.48 1 1 0.304 0 0.8 0 0 0 69.4519 0.8 10.0232 0.014243 0.2 0.2 1 A_inc 0 
10 2 73.1408 99.9802 0.27848 0.045861 0.65606 0.49326 -0.28 -0.28 1 1 0 -0.304 0 0.8 478217.9574 30172.4362 73.1408 0.8 10.0232 0.083287 1.6 0 1 B_con 1 
10 3 33.2048 61.3204 0.70456 0.46088 0.66132 0.689 0.48 0.48 1 1 0.076 0 0.2 0 327648.7038 -261370.0619 33.2048 0.2 0.82212 0.060043 1 -0.6 1 A_inc -1 
10 4 84.1995 68.9334 0.22607 0.35838 0.63628 0.6766 0.52 0.52 1 1 0 -0.228 0 0.6 454784.8462 404796.7336 84.1995 0.6 5.0496 0.045736 0.8 0.4 1 B_inc 1 
10 5 78.6443 103.8527 0.27461 0.056126 0.65479 0.50825 -0.28 -0.28 1 1 0 -0.228 0 0.6 68446.2334 -68324.7692 78.6443 0.6 5.0496 0 0 0 1 B_con 0 
10 6 29.5525 103.6588 0.74349 0.1012 0.64846 0.5579 1.28 1.28 1 1 0 0 0 0 377324.976 -361986.4503 29.5525 0 0 0.043339 0.6 -0.6 1 A_con 1 
10 7 66.9749 105.1231 0.39916 0.068523 0.68328 0.52407 1.28 1.28 1 1 0.152 0 0.4 0 416099.0723 416099.0723 66.9749 0.4 2.3201 0.028688 0.4 0.4 1 A_con 0 
10 8 88.5603 105.814 0.20508 0.055535 0.62665 0.50744 1.28 1.28 1 1 0.152 0.08 0.4 0.2 137253.1975 137253.1975 88.5603 0.6 3.1422 0.014243 0.2 0.2 1 A_con 1 
10 9 97.8571 50.7743 0.11152 0.51959 0.56689 0.68975 0.48 0.48 1 1 0.152 -0.16 0.4 0.4 3375.4882 3375.4882 97.8571 0.8 4.6402 0.014243 0.2 0.2 1 A_inc 1 
10 10 87.9066 103.8206 0.19405 0.056126 0.62114 0.50825 1.28 1.28 1 1 0.228 0 0.6 0 22531.1169 -22476.6141 87.9066 0.6 5.0496 0.032128 0.6 -0.2 1 A_con 1 
10 11 96.7954 58.7189 0.13365 0.46366 0.58417 0.68914 0.48 0.48 1 1 0.152 -0.08 0.4 0.2 21952.8663 21905.6692 96.7954 0.6 3.1422 0.020201 0.4 -5.5511e-17 1 A_inc 1 
10 12 87.9015 68.9589 0.1942 0.35838 0.62122 0.6766 0.48 0.48 1 1 0.228 0 0.6 0 45220.5901 -45219.2463 87.9015 0.6 5.0496 0.020201 0.4 5.5511e-17 1 A_inc 1 
10 13 48.9849 103.7909 0.53114 0.056126 0.68937 0.50825 -0.28 -0.28 1 1 0 -0.228 0 0.6 442906.6076 -378418.8157 48.9849 0.6 5.0496 0.061837 1.2 0 1 B_con 1 
10 14 80.5109 68.9791 0.25843 0.35838 0.64916 0.6766 0.52 0.52 1 1 0 -0.228 0 0.6 364160.7397 364160.7397 80.5109 0.6 5.0496 0 0 0 1 B_inc 0 
10 15 76.1529 103.8527 0.2962 0.056126 0.66155 0.50825 -0.28 -0.28 1 1 0 -0.228 0 0.6 110078.282 -110023.885 76.1529 0.6 5.0496 0 0 0 1 B_con 0 
10 16 91.7122 103.8527 0.16135 0.056126 0.60271 0.50825 -0.28 -0.28 1 1 0 -0.228 0 0.6 164207.6245 164207.6245 91.7122 0.6 5.0496 0 0 0 1 B_con 0 
10 17 98.7214 58.7189 0.11696 0.46366 0.57138 0.68914 0.52 0.52 1 1 0.08 -0.152 0.2 0.4 5851.8172 5851.8172 98.7214 0.6 3.1422 0.020201 0.4 -5.5511e-17 1 B_inc 0 
10 18 33.5935 103.67 0.70856 0.1012 0.66013 0.5579 1.28 1.28 1 1 0 0 0 0 538052.5484 -538052.5484 33.5935 0 0 0.032128 0.6 -0.6 1 A_con 1 
10 19 48.0635 61.3662 0.57618 0.46088 0.68618 0.689 0.52 0.52 1 1 0 -0.076 0 0.2 116723.598 67678.1378 48.0635 0.2 0.82212 0.014243 0.2 0.2 1 B_inc 0 
10 20 55.1718 68.9504 0.4778 0.35838 0.68968 0.6766 0.52 0.52 1 1 0 -0.228 0 0.6 98017.9485 94900.6624 55.1718 0.6 5.0496 0.028688 0.4 0.4 1 B_inc 0 
10 21 60.8408 103.8527 0.42892 0.056126 0.68668 0.50825 -0.28 -0.28 1 1 0 -0.228 0 0.6 38349.7949 37284.216 60.8408 0.6 5.0496 0 0 0 1 B_con 0 
10 22 36.2587 56.0308 0.68536 0.514 0.66666 0.68987 0.48 0.48 1 1 0 0 0 0 249689.595 -200428.5549 36.2587 0 0 0.043339 0.6 -0.6 1 A_inc 0 
10 23 80.853 68.9358 0.25509 0.35838 0.64793 0.6766 0.52 0.52 1 1 0 -0.228 0 0.6 439782.8894 408349.1332 80.853 0.6 5.0496 0.043339 0.6 0.6 1 B_inc 0 
10 24 76.4049 68.9791 0.29402 0.35838 0.6609 0.6766 0.52 0.52 1 1 0 -0.228 0 0.6 72040.103 -71905.3527 76.4049 0.6 5.0496 0 0 0 1 B_inc 0 
10 25 63.7841 103.7909 0.40287 0.056126 0.68377 0.50825 1.28 1.28 1 1 0.228 0 0.6 0 462446.3985 -124121.0283 63.7841 0.6 5.0496 0.061837 1.2 0 1 A_con 0 
10 26 86.8584 103.8527 0.20342 0.056126 0.62584 0.50825 1.28 1.28 1 1 0.228 0 0.6 0 283896.951 283896.951 86.8584 0.6 5.0496 0 0 0 1 A_con 1 
10 27 23.762 103.6588 0.79367 0.1012 0.62725 0.5579 -0.28 -0.28 1 1 0 0 0 0 524851.4755 -524851.4755 23.762 0 0 0.043339 0.6 -0.6 1 B_con 0 
10 28 59.9901 104.9172 0.47281 0.083417 0.68952 0.54066 -0.28 -0.28 1 1 0 -0.076 0 0.2 338015.4354 338015.4354 59.9901 0.2 0.82212 0.014243 0.2 0.2 1 B_con 0 
10 29 85.6436 58.7189 0.2303 0.46366 0.6381 0.68914 0.52 0.52 1 1 0.08 -0.152 0.2 0.4 224676.0927 224676.0927 85.6436 0.6 3.1422 0.020201 0.4 0.4 1 B_inc 0 
10 30 78.8438 103.8325 0.27271 0.056126 0.65415 0.50825 -0.28 -0.28 1 1 0 -0.228 0 0.6 76920.8782 -76613.5745 78.8438 0.6 5.0496 0.020201 0.4 5.5511e-17 1 B_con 0 
10 31 26.8953 56.0308 0.76652 0.514 0.63943 0.68987 0.48 0.48 1 1 0 0 0 0 485060.4327 -485060.4327 26.8953 0 0 0.043339 0.6 -0.6 1 A_inc 0 
10 32 37.7697 104.9172 0.66539 0.083417 0.67157 0.54066 1.28 1.28 1 1 0.076 0 0.2 0 55222.6128 54980.8167 37.7697 0.2 0.82212 0.014243 0.2 0.2 1 A_con 1 
10 33 73.8939 103.824 0.31553 0.056126 0.6669 0.50825 1.28 1.28 1 1 0.228 0 0.6 0 436076.8907 436076.8907 73.8939 0.6 5.0496 0.028688 0.4 0.4 1 A_con 0 
10 34 28.0652 56.0308 0.75638 0.514 0.64354 0.68987 0.52 0.52 1 1 0 0 0 0 490975.6874 -490975.6874 28.0652 0 0 0.043339 0.6 -0.6 1 B_inc 0 
10 35 38.4553 104.9172 0.65945 0.083417 0.67291 0.54066 -0.28 -0.28 1 1 0 -0.076 0 0.2 51892.2196 51646.2204 38.4553 0.2 0.82212 0.014243 0.2 0.2 1 B_con 1 
10 36 44.8462 103.6879 0.61119 0.1012 0.68181 0.5579 1.28 1.28 1 1 0 0 0 0 101603.9092 6750.2125 44.8462 0 0 0.014243 0.2 -0.2 1 A_con 0 
10 37 77.1549 105.1231 0.31093 0.068523 0.66568 0.52407 1.28 1.28 1 1 0.152 0 0.4 0 488287.0034 488287.0034 77.1549 0.4 2.3201 0.028688 0.4 0.4 1 A_con 1 
10 38 25.9683 103.6735 0.77468 0.1012 0.63595 0.5579 -0.28 -0.28 1 1 0 0 0 0 547770.1418 -547770.1418 25.9683 0 0 0.028688 0.4 -0.4 1 B_con 0 
10 39 53.8686 103.7022 0.53311 0.1012 0.68928 0.5579 1.28 1.28 1 1 0 0 0 0 145845.8352 145845.8352 53.8686 0 0 0 0 0 1 A_con 1 
10 40 35.918 56.0741 0.68869 0.514 0.66578 0.68987 0.52 0.52 1 1 0 0 0 0 140454.7584 -140454.7584 35.918 0 0 0 0 0 1 B_inc 1 
10 41 77.3329 68.9358 0.2856 0.35838 0.65833 0.6766 0.48 0.48 1 1 0.228 0 0.6 0 484135.9419 484135.9419 77.3329 0.6 5.0496 0.043339 0.6 0.6 1 A_inc 1 
10 42 74.139 68.9791 0.31366 0.35838 0.66641 0.6766 0.48 0.48 1 1 0.228 0 0.6 0 108247.9368 -107879.8812 74.139 0.6 5.0496 0 0 0 1 A_inc 0 
10 43 61.9855 68.9173 0.41846 0.35838 0.68562 0.6766 0.52 0.52 1 1 0 -0.228 0 0.6 445694.9192 -145865.8769 61.9855 0.6 5.0496 0.061837 1.2 0 1 B_inc 1 
10 44 64.8664 103.8527 0.39403 0.056126 0.68257 0.50825 -0.28 -0.28 1 1 0 -0.228 0 0.6 14540.8599 13992.5231 64.8664 0.6 5.0496 0 0 0 1 B_con 0 
