id LogIdx EVCs(:,1) EVCs(:,2) ERs(:,1) ERs(:,2) RTs(:,1) RTs(:,2) ExpectedStateParam ActualStateParam ControlParamType_1 ControlParamType_2 ControlParamVal_1 ControlParamVal_2 CtrlIntensities_1 CtrlIntensities_2 ACC_HypotheticalBOLD_1 ACC_HypotheticalBOLD_2 ACC_HypotheticalBOLD_3 ACC_HypotheticalBOLD_4 ACC_HypotheticalBOLD_5 ACC_HypotheticalBOLD_6 ACC_HypotheticalBOLD_7 ACC_HypotheticalBOLD_8 TrialType TrialDescr condition 
13 1 108.2277 108.2277 0.047537 0.047537 0.98861 0.98861 1.465 1.465 1 1 0.076 0.077 0.2 0.2 0 0 108.2277 0.4 1.6442 0.02144 0.2 -0.2 1 con 0 
13 2 108.2491 55.4797 0.047537 0.5049 0.98861 1.506 0.695 0.695 1 1 0.076 -0.077 0.2 0.2 80.6135 -80.0214 108.2491 0.4 1.6442 0 0 0 1 inc -1 
13 3 99.1458 72.7129 0.0965 0.3256 1.1425 1.4513 0.695 0.695 1 1 0.228 0 0.6 0 1893.2759 -1893.2759 99.1458 0.6 5.0496 0.048577 0.6 0.2 1 inc 1 
13 4 91.4781 105.9902 0.16338 0.037599 1.2768 0.94506 1.465 1.465 1 1 0.228 0 0.6 0 31423.9028 -31320.9821 91.4781 0.6 5.0496 0 0 0 1 con 0 
13 5 99.6281 107.5347 0.11621 0.047685 1.1883 0.98921 1.465 1.465 1 1 0.152 0 0.4 0 31689.7487 31689.7487 99.6281 0.4 2.3201 0.02144 0.2 -0.2 1 con 1 
13 6 103.8623 61.0898 0.072389 0.4431 1.0759 1.5005 0.695 0.695 1 1 0.152 -0.077 0.4 0.2 1242.9376 1127.8602 103.8623 0.6 3.1422 0.02144 0.2 0.2 1 inc 1 
13 7 95.1441 105.9598 0.13134 0.037599 1.2195 0.94506 1.465 1.465 1 1 0.228 0 0.6 0 10478.8548 -10428.5554 95.1441 0.6 5.0496 0.030455 0.4 5.5511e-17 1 con 0 
13 8 101.4147 61.0808 0.093524 0.4431 1.135 1.5005 0.695 0.695 1 1 0.152 -0.077 0.4 0.2 10015.4218 10014.4803 101.4147 0.6 3.1422 0.030455 0.4 -5.5511e-17 1 inc 1 
13 9 93.21 105.9598 0.1481 0.037599 1.2508 0.94506 1.465 1.465 1 1 0.228 0 0.6 0 20486.4734 -20486.4402 93.21 0.6 5.0496 0.030455 0.4 5.5511e-17 1 con 0 
13 10 100.4328 68.933 0.10924 0.38225 1.1728 1.4816 0.695 0.695 1 1 0.152 0 0.4 0 20161.3457 20161.3125 100.4328 0.4 2.3201 0.02144 0.2 -0.2 1 inc 0 
