id LogIdx EVCs(:,1) EVCs(:,2) ERs(:,1) ERs(:,2) RTs(:,1) RTs(:,2) ExpectedStateParam ActualStateParam ControlParamType_1 ControlParamType_2 ControlParamVal_1 ControlParamVal_2 CtrlIntensities_1 CtrlIntensities_2 ACC_HypotheticalBOLD_1 ACC_HypotheticalBOLD_2 ACC_HypotheticalBOLD_3 ACC_HypotheticalBOLD_4 ACC_HypotheticalBOLD_5 ACC_HypotheticalBOLD_6 ACC_HypotheticalBOLD_7 ACC_HypotheticalBOLD_8 TrialType TrialDescr condition 
5 1 69.4138 69.4138 0.31105 0.31105 0.66571 0.66571 0.48 0.48 1 1 0.304 0 0.8 0 0 0 69.4138 0.8 10.0232 0.052313 1 0.2 1 A_inc 0 
5 2 69.4661 69.4661 0.31105 0.31105 0.66571 0.66571 0.48 0.48 1 1 0.304 0 0.8 0 153.5554 72.7523 69.4661 0.8 10.0232 0 0 0 1 A_inc 1 
5 3 73.1408 99.9802 0.27848 0.045861 0.65606 0.49326 -0.28 -0.28 1 1 0 -0.304 0 0.8 478241.8171 30100.5609 73.1408 0.8 10.0232 0.083287 1.6 0 1 B_con -1 
5 4 33.2048 104.8714 0.70456 0.083417 0.66132 0.54066 1.28 1.28 1 1 0.076 0 0.2 0 327648.7038 -261370.0619 33.2048 0.2 0.82212 0.060043 1 -0.6 1 A_con 0 
5 5 48.6199 104.9112 0.5713 0.083417 0.68666 0.54066 -0.28 -0.28 1 1 0 -0.076 0 0.2 136872.3799 73597.395 48.6199 0.2 0.82212 0.020201 0.4 0 1 B_con 1 
5 6 79.6178 65.8958 0.28971 0.40864 0.6596 0.6845 0.52 0.52 1 1 0 -0.152 0 0.4 442212.0347 442212.0347 79.6178 0.4 2.3201 0.014243 0.2 0.2 1 B_inc 0 
5 7 75.4574 68.9649 0.30211 0.35838 0.66325 0.6766 0.52 0.52 1 1 0 -0.228 0 0.6 118502.5199 -117981.6616 75.4574 0.6 5.0496 0.014243 0.2 0.2 1 B_inc 1 
5 8 58.2057 68.9173 0.45122 0.35838 0.68844 0.6766 0.48 0.48 1 1 0.228 0 0.6 0 427904.4029 -223206.5605 58.2057 0.6 5.0496 0.061837 1.2 0 1 A_inc 0 
5 9 62.6445 103.8527 0.41328 0.056126 0.68505 0.50825 1.28 1.28 1 1 0.228 0 0.6 0 26573.1593 26056.293 62.6445 0.6 5.0496 0 0 0 1 A_con 1 
5 10 86.3712 103.8527 0.20764 0.056126 0.62788 0.50825 1.28 1.28 1 1 0.228 0 0.6 0 293168.0135 293168.0135 86.3712 0.6 5.0496 0 0 0 1 A_con 0 
5 11 95.985 58.7189 0.14067 0.46366 0.58917 0.68914 0.48 0.48 1 1 0.152 -0.08 0.4 0.2 36473.2098 36473.2098 95.985 0.6 3.1422 0.020201 0.4 -5.5511e-17 1 A_inc 0 
5 12 87.346 103.8325 0.19902 0.056126 0.62366 0.50825 1.28 1.28 1 1 0.228 0 0.6 0 51719.9851 -51719.6726 87.346 0.6 5.0496 0.020201 0.4 5.5511e-17 1 A_con 1 
5 13 23.817 103.6588 0.7932 0.1012 0.62748 0.5579 -0.28 -0.28 1 1 0 0 0 0 514483.2326 -514483.2326 23.817 0 0 0.043339 0.6 -0.6 1 B_con 1 
5 14 55.9127 104.9172 0.50815 0.083417 0.68996 0.54066 1.28 1.28 1 1 0.076 0 0.2 0 221554.4397 221554.4397 55.9127 0.2 0.82212 0.014243 0.2 0.2 1 A_con 0 
5 15 83.5273 105.808 0.24865 0.055535 0.6455 0.50744 1.28 1.28 1 1 0.152 0.08 0.4 0.2 339256.8622 339256.8622 83.5273 0.6 3.1422 0.020201 0.4 0.4 1 A_con 1 
5 16 23.278 56.042 0.79797 0.514 0.62516 0.68987 0.52 0.52 1 1 0 0 0 0 561580.6869 -561580.6869 23.278 0 0 0.032128 0.6 -0.6 1 B_inc 1 
5 17 87.1455 68.9358 0.20055 0.35838 0.62443 0.6766 0.48 0.48 1 1 0.228 0 0.6 0 545824.7803 545824.7803 87.1455 0.6 5.0496 0.043339 0.6 0.6 1 A_inc 1 
5 18 46.8678 65.8578 0.57323 0.40864 0.68648 0.6845 0.52 0.52 1 1 0 -0.152 0 0.4 438716.3281 -418076.9974 46.8678 0.4 2.3201 0.052313 1 -0.2 1 B_inc 0 
5 19 55.884 68.9649 0.47176 0.35838 0.68948 0.6766 0.52 0.52 1 1 0 -0.228 0 0.6 60843.4413 60712.3314 55.884 0.6 5.0496 0.014243 0.2 0.2 1 B_inc 1 
5 20 61.2515 103.8527 0.42536 0.056126 0.68634 0.50825 -0.28 -0.28 1 1 0 -0.228 0 0.6 33693.8179 33689.9039 61.2515 0.6 5.0496 0 0 0 1 B_con 1 
5 21 37.1797 61.3347 0.67024 0.46088 0.67044 0.689 0.48 0.48 1 1 0.076 0 0.2 0 261091.0053 -175192.5309 37.1797 0.2 0.82212 0.045736 0.8 -0.4 1 A_inc 0 
5 22 80.9652 68.9334 0.2541 0.35838 0.64756 0.6766 0.52 0.52 1 1 0 -0.228 0 0.6 442857.7902 379460.7985 80.9652 0.6 5.0496 0.045736 0.8 0.4 1 B_inc 0 
5 23 58.4125 68.9173 0.44943 0.35838 0.68832 0.6766 0.48 0.48 1 1 0.228 0 0.6 0 454170.1312 -221033.5993 58.4125 0.6 5.0496 0.061837 1.2 0 1 A_inc 1 
5 24 62.766 103.8527 0.41223 0.056126 0.68493 0.50825 1.28 1.28 1 1 0.228 0 0.6 0 26524.4865 26407.2635 62.766 0.6 5.0496 0 0 0 1 A_con 1 
5 25 86.4206 68.9791 0.20721 0.35838 0.62768 0.6766 0.48 0.48 1 1 0.228 0 0.6 0 288486.8139 288486.8139 86.4206 0.6 5.0496 0 0 0 1 A_inc 0 
5 26 49.7091 68.9173 0.52486 0.35838 0.6896 0.6766 0.52 0.52 1 1 0 -0.228 0 0.6 438219.1156 -372256.4289 49.7091 0.6 5.0496 0.061837 1.2 0 1 B_inc 0 
5 27 57.624 103.8527 0.4568 0.056126 0.68878 0.50825 -0.28 -0.28 1 1 0 -0.228 0 0.6 51229.4077 51122.9647 57.624 0.6 5.0496 0 0 0 1 B_con 0 
5 28 38.2796 104.8857 0.6607 0.083417 0.67264 0.54066 1.28 1.28 1 1 0.076 0 0.2 0 239507.0549 -150261.0639 38.2796 0.2 0.82212 0.045736 0.8 -0.4 1 A_con 0 
5 29 73.8778 65.8958 0.33946 0.40864 0.67267 0.6845 0.48 0.48 1 1 0.152 0 0.4 0 459120.3388 459120.3388 73.8778 0.4 2.3201 0.014243 0.2 0.2 1 A_inc 0 
5 30 54.0176 103.8004 0.4876 0.056126 0.6899 0.50825 -0.28 -0.28 1 1 0 -0.228 0 0.6 388362.1622 -325386.3712 54.0176 0.6 5.0496 0.052313 1 0.2 1 B_con 0 
5 31 82.7646 103.8527 0.2389 0.056126 0.64166 0.50825 -0.28 -0.28 1 1 0 -0.228 0 0.6 362922.0725 362922.0725 82.7646 0.6 5.0496 0 0 0 1 B_con 0 
5 32 95.0149 58.7189 0.14908 0.46366 0.59487 0.68914 0.52 0.52 1 1 0.08 -0.152 0.2 0.4 21510.1216 21510.1216 95.0149 0.6 3.1422 0.020201 0.4 -5.5511e-17 1 B_inc 1 
5 33 36.7532 104.9027 0.67408 0.083417 0.66952 0.54066 1.28 1.28 1 1 0.076 0 0.2 0 523123.7803 -523123.7803 36.7532 0.2 0.82212 0.028688 0.4 -0.4 1 A_con 0 
5 34 45.843 103.6879 0.60255 0.1012 0.68305 0.5579 -0.28 -0.28 1 1 0 0 0 0 102351.0864 26271.7771 45.843 0 0 0.014243 0.2 -0.2 1 B_con 0 
5 35 77.806 105.1231 0.30528 0.068523 0.66414 0.52407 -0.28 -0.28 1 1 0 -0.152 0 0.4 479940.1304 479940.1304 77.806 0.4 2.3201 0.028688 0.4 0.4 1 B_con 0 
5 36 25.7066 56.0454 0.77695 0.514 0.63496 0.68987 0.48 0.48 1 1 0 0 0 0 549595.8918 -549595.8918 25.7066 0 0 0.028688 0.4 -0.4 1 A_inc 0 
5 37 85.5806 103.8094 0.21412 0.056126 0.63093 0.50825 -0.28 -0.28 1 1 0 -0.228 0 0.6 532992.5356 532992.5356 85.5806 0.6 5.0496 0.043339 0.6 0.6 1 B_con 1 
5 38 23.9689 103.6588 0.79188 0.1012 0.62811 0.5579 1.28 1.28 1 1 0 0 0 0 533010.9836 -533010.9836 23.9689 0 0 0.043339 0.6 -0.6 1 A_con 0 
5 39 55.6184 103.7022 0.51795 0.1012 0.68979 0.5579 -0.28 -0.28 1 1 0 0 0 0 212057.3783 212057.3783 55.6184 0 0 0 0 0 1 B_con 1 
5 40 83.318 58.707 0.25036 0.46366 0.64615 0.68914 0.52 0.52 1 1 0.08 -0.152 0.2 0.4 349053.0593 349053.0593 83.318 0.6 3.1422 0.032128 0.6 0.6 1 B_inc 0 
5 41 44.7355 104.9027 0.6049 0.083417 0.68272 0.54066 1.28 1.28 1 1 0.076 0 0.2 0 472358.7427 -472358.7427 44.7355 0.2 0.82212 0.028688 0.4 -0.4 1 A_con 0 
5 42 77.7362 68.9504 0.28223 0.35838 0.65727 0.6766 0.48 0.48 1 1 0.228 0 0.6 0 449205.3611 449205.3611 77.7362 0.6 5.0496 0.028688 0.4 0.4 1 A_inc 1 
5 43 50.8768 65.8578 0.53848 0.40864 0.68903 0.6845 0.52 0.52 1 1 0 -0.152 0 0.4 404999.7239 -385086.6905 50.8768 0.4 2.3201 0.052313 1 -0.2 1 B_inc 0 
5 44 73.6865 103.8004 0.31713 0.056126 0.66731 0.50825 1.28 1.28 1 1 0.228 0 0.6 0 438652.0737 203030.804 73.6865 0.6 5.0496 0.052313 1 0.2 1 A_con 0 
5 45 30.8508 103.6588 0.73224 0.1012 0.65247 0.5579 -0.28 -0.28 1 1 0 0 0 0 357730.492 -347021.4461 30.8508 0 0 0.043339 0.6 -0.6 1 B_con 0 
5 46 67.6127 65.8814 0.39363 0.40864 0.68252 0.6845 0.52 0.52 1 1 0 -0.152 0 0.4 445074.0324 445074.0324 67.6127 0.4 2.3201 0.028688 0.4 0.4 1 B_inc 1 
5 47 67.8554 68.9649 0.368 0.35838 0.6784 0.6766 0.52 0.52 1 1 0 -0.228 0 0.6 117592.3711 -111505.1038 67.8554 0.6 5.0496 0.014243 0.2 0.2 1 B_inc 1 
5 48 63.9061 103.7909 0.40181 0.056126 0.68364 0.50825 1.28 1.28 1 1 0.228 0 0.6 0 429799.4241 -82054.4943 63.9061 0.6 5.0496 0.061837 1.2 0 1 A_con 1 
5 49 86.9078 68.9791 0.20299 0.35838 0.62563 0.6766 0.48 0.48 1 1 0.228 0 0.6 0 284627.848 284627.848 86.9078 0.6 5.0496 0 0 0 1 A_inc 0 
5 50 47.0401 105.0995 0.57173 0.068523 0.68662 0.52407 -0.28 -0.28 1 1 0 -0.152 0 0.4 437995.1652 -416696.8416 47.0401 0.4 2.3201 0.052313 1 -0.2 1 B_con 1 
5 51 41.2304 56.0454 0.6424 0.514 0.67645 0.68987 0.48 0.48 1 1 0 0 0 0 167660.1506 -79403.4053 41.2304 0 0 0.028688 0.4 -0.4 1 A_inc 1 
5 52 76.9088 68.9358 0.28928 0.35838 0.65947 0.6766 0.52 0.52 1 1 0 -0.228 0 0.6 421370.6441 363367.2027 76.9088 0.6 5.0496 0.043339 0.6 0.6 1 B_inc 1 
5 53 73.8709 68.9791 0.31598 0.35838 0.66702 0.6766 0.52 0.52 1 1 0 -0.228 0 0.6 65524.4876 -65348.9817 73.8709 0.6 5.0496 0 0 0 1 B_inc 1 
5 54 65.0565 103.7909 0.39184 0.056126 0.68226 0.50825 1.28 1.28 1 1 0.228 0 0.6 0 459903.3742 -94381.4221 65.0565 0.6 5.0496 0.061837 1.2 0 1 A_con 1 
5 55 35.3737 103.6588 0.69303 0.1012 0.6646 0.5579 -0.28 -0.28 1 1 0 0 0 0 280680.639 -217367.8887 35.3737 0 0 0.043339 0.6 -0.6 1 B_con 1 
