id LogIdx EVCs(:,1) EVCs(:,2) ERs(:,1) ERs(:,2) RTs(:,1) RTs(:,2) ExpectedStateParam ActualStateParam ControlParamType_1 ControlParamType_2 ControlParamVal_1 ControlParamVal_2 CtrlIntensities_1 CtrlIntensities_2 ACC_HypotheticalBOLD_1 ACC_HypotheticalBOLD_2 ACC_HypotheticalBOLD_3 ACC_HypotheticalBOLD_4 ACC_HypotheticalBOLD_5 ACC_HypotheticalBOLD_6 ACC_HypotheticalBOLD_7 ACC_HypotheticalBOLD_8 TrialType TrialDescr condition 
14 1 105.8777 105.8777 0.067812 0.067812 0.52322 0.52322 -0.28 -0.28 1 1 -0.08 -0.076 0.2 0.2 0 0 105.8777 0.4 1.6442 0.032128 0.6 -0.2 1 B_con 1 
14 2 11.6557 56.0539 0.8988 0.514 0.5579 0.68987 0.48 0.48 1 1 0 0 0 0 570285.1363 -570285.1363 11.6557 0 0 0.020201 0.4 -0.4 1 A_inc 0 
14 3 24.079 103.7022 0.7913 0.1012 0.62839 0.5579 1.28 1.28 1 1 0 0 0 0 2601.7266 2397.1124 24.079 0 0 0 0 0 1 A_con -1 
14 4 60.662 105.1231 0.45388 0.068523 0.68861 0.52407 1.28 1.28 1 1 0.152 0 0.4 0 338265.3988 338265.3988 60.662 0.4 2.3201 0.028688 0.4 0.4 1 A_con 0 
14 5 85.9225 58.7249 0.22794 0.46366 0.63709 0.68914 0.48 0.48 1 1 0.152 -0.08 0.4 0.2 224029.7167 224029.7167 85.9225 0.6 3.1422 0.014243 0.2 0.2 1 A_inc 1 
14 6 43.3111 61.3518 0.61724 0.46088 0.68088 0.689 0.52 0.52 1 1 0 -0.076 0 0.2 481382.7334 -481382.7334 43.3111 0.2 0.82212 0.028688 0.4 -0.4 1 B_inc 1 
14 7 76.6799 68.9334 0.29124 0.35838 0.66007 0.6766 0.48 0.48 1 1 0.228 0 0.6 0 430565.0459 314185.4991 76.6799 0.6 5.0496 0.045736 0.8 0.4 1 A_inc 0 
14 8 73.7282 68.9791 0.31722 0.35838 0.66734 0.6766 0.48 0.48 1 1 0.228 0 0.6 0 56859.2819 -56718.4905 73.7282 0.6 5.0496 0 0 0 1 A_inc 0 
14 9 65.8464 68.9173 0.385 0.35838 0.68123 0.6766 0.52 0.52 1 1 0 -0.228 0 0.6 462832.2564 -82138.5472 65.8464 0.6 5.0496 0.061837 1.2 0 1 B_inc 0 
14 10 67.3138 69.4519 0.32958 0.31105 0.6704 0.66571 0.52 0.52 1 1 0 -0.304 0 0.8 5044.163 4510.6842 67.3138 0.8 10.0232 0.014243 0.2 0.2 1 B_inc 0 
