id LogIdx EVCs(:,1) EVCs(:,2) ERs(:,1) ERs(:,2) RTs(:,1) RTs(:,2) ExpectedStateParam ActualStateParam ControlParamType_1 ControlParamType_2 ControlParamVal_1 ControlParamVal_2 CtrlIntensities_1 CtrlIntensities_2 ACC_HypotheticalBOLD_1 ACC_HypotheticalBOLD_2 ACC_HypotheticalBOLD_3 ACC_HypotheticalBOLD_4 ACC_HypotheticalBOLD_5 ACC_HypotheticalBOLD_6 ACC_HypotheticalBOLD_7 ACC_HypotheticalBOLD_8 TrialType TrialDescr condition 
11 1 108.2277 108.2277 0.047537 0.047537 0.98861 0.98861 1.465 1.465 1 1 0.076 0.077 0.2 0.2 0 0 108.2277 0.4 1.6442 0.02144 0.2 -0.2 1 con 0 
11 2 108.2491 55.4797 0.047537 0.5049 0.98861 1.506 0.695 0.695 1 1 0.076 -0.077 0.2 0.2 80.6135 -80.0214 108.2491 0.4 1.6442 0 0 0 1 inc -1 
11 3 99.1458 72.7129 0.0965 0.3256 1.1425 1.4513 0.695 0.695 1 1 0.228 0 0.6 0 1893.2759 -1893.2759 99.1458 0.6 5.0496 0.048577 0.6 0.2 1 inc 1 
11 4 91.4781 105.9902 0.16338 0.037599 1.2768 0.94506 1.465 1.465 1 1 0.228 0 0.6 0 31423.9028 -31320.9821 91.4781 0.6 5.0496 0 0 0 1 con 0 
11 5 99.6281 107.5347 0.11621 0.047685 1.1883 0.98921 1.465 1.465 1 1 0.152 0 0.4 0 31689.7487 31689.7487 99.6281 0.4 2.3201 0.02144 0.2 -0.2 1 con 1 
11 6 103.8623 107.8898 0.072389 0.037481 1.0759 0.9445 1.465 1.465 1 1 0.152 0.077 0.4 0.2 1242.9376 1127.8602 103.8623 0.6 3.1422 0.02144 0.2 0.2 1 con 1 
11 7 105.7981 61.1112 0.055797 0.4431 1.0204 1.5005 0.695 0.695 1 1 0.152 -0.077 0.4 0.2 310.9371 310.9193 105.7981 0.6 3.1422 0 0 0 1 inc 0 
11 8 96.8824 72.7311 0.11627 0.3256 1.1885 1.4513 0.695 0.695 1 1 0.228 0 0.6 0 5015.0352 -5015.0352 96.8824 0.6 5.0496 0.030455 0.4 5.5511e-17 1 inc 1 
11 9 89.4209 105.9902 0.18121 0.037599 1.3043 0.94506 1.465 1.465 1 1 0.228 0 0.6 0 42948.7522 -42922.0357 89.4209 0.6 5.0496 0 0 0 1 con 0 
11 10 98.8389 105.9902 0.099581 0.037599 1.1501 0.94506 1.465 1.465 1 1 0.228 0 0.6 0 45888.4209 45888.4209 98.8389 0.6 5.0496 0 0 0 1 con 0 
11 11 103.4247 107.8808 0.076103 0.037481 1.0871 0.9445 1.465 1.465 1 1 0.152 0.077 0.4 0.2 1748.2319 1748.2319 103.4247 0.6 3.1422 0.030455 0.4 -5.5511e-17 1 con 0 
11 12 105.598 107.9113 0.05753 0.037481 1.0267 0.9445 1.465 1.465 1 1 0.152 0.077 0.4 0.2 325.3256 280.8164 105.598 0.6 3.1422 0 0 0 1 con 0 
11 13 106.6374 61.1112 0.048522 0.4431 0.99259 1.5005 0.695 0.695 1 1 0.152 -0.077 0.4 0.2 93.7137 93.7137 106.6374 0.6 3.1422 0 0 0 1 inc 1 
11 14 97.7316 72.7311 0.10891 0.3256 1.1721 1.4513 0.695 0.695 1 1 0.228 0 0.6 0 3453.6686 -3453.6686 97.7316 0.6 5.0496 0.030455 0.4 5.5511e-17 1 inc 0 
11 15 90.1671 72.7615 0.17474 0.3256 1.2946 1.4513 0.695 0.695 1 1 0.228 0 0.6 0 39183.9715 -39156.3864 90.1671 0.6 5.0496 0 0 0 1 inc 1 
11 16 84.0843 105.9902 0.22746 0.037599 1.3645 0.94506 1.465 1.465 1 1 0.228 0 0.6 0 42675.5226 -42675.5226 84.0843 0.6 5.0496 0 0 0 1 con 1 
11 17 96.9414 72.7615 0.11603 0.3256 1.1879 1.4513 0.695 0.695 1 1 0.228 0 0.6 0 80254.7157 80254.7157 96.9414 0.6 5.0496 0 0 0 1 inc 0 
11 18 89.4456 72.7615 0.18099 0.3256 1.304 1.4513 0.695 0.695 1 1 0.228 0 0.6 0 42801.3119 -42801.3119 89.4456 0.6 5.0496 0 0 0 1 inc 1 
11 19 83.5604 72.7615 0.232 0.3256 1.3697 1.4513 0.695 0.695 1 1 0.228 0 0.6 0 40921.3028 -40921.3028 83.5604 0.6 5.0496 0 0 0 1 inc 0 
11 20 79.7912 101.9205 0.22138 0.029581 1.3574 0.90409 1.465 1.465 1 1 0.304 0 0.8 0 25580.0046 -25580.0046 79.7912 0.8 10.0232 0.02144 0.2 0.2 1 con 0 
