id LogIdx EVCs(:,1) EVCs(:,2) ERs(:,1) ERs(:,2) RTs(:,1) RTs(:,2) ExpectedStateParam ActualStateParam ControlParamType_1 ControlParamType_2 ControlParamVal_1 ControlParamVal_2 CtrlIntensities_1 CtrlIntensities_2 ACC_HypotheticalBOLD_1 ACC_HypotheticalBOLD_2 ACC_HypotheticalBOLD_3 ACC_HypotheticalBOLD_4 ACC_HypotheticalBOLD_5 ACC_HypotheticalBOLD_6 ACC_HypotheticalBOLD_7 ACC_HypotheticalBOLD_8 TrialType TrialDescr condition 
9 1 108.2005 55.4311 0.047537 0.5049 0.98861 1.506 0.695 0.695 1 1 0.076 -0.077 0.2 0.2 0 0 108.2005 0.4 1.6442 0.048577 0.6 -0.2 1 inc 1 
9 2 99.1458 105.9417 0.0965 0.037599 1.1425 0.94506 1.465 1.465 1 1 0.228 0 0.6 0 1966.0624 -1966.0351 99.1458 0.6 5.0496 0.048577 0.6 0.2 1 con -1 
9 3 103.6261 61.0808 0.074358 0.4431 1.0819 1.5005 0.695 0.695 1 1 0.152 -0.077 0.4 0.2 1538.9645 1538.9176 103.6261 0.6 3.1422 0.030455 0.4 -5.5511e-17 1 inc 0 
9 4 94.9525 72.7311 0.133 0.3256 1.2228 1.4513 0.695 0.695 1 1 0.228 0 0.6 0 11327.9309 -11327.1411 94.9525 0.6 5.0496 0.030455 0.4 5.5511e-17 1 inc 1 
9 5 87.7976 105.9902 0.19528 0.037599 1.3242 0.94506 1.465 1.465 1 1 0.228 0 0.6 0 48032.7207 -48007.9236 87.7976 0.6 5.0496 0 0 0 1 con 1 
9 6 98.2544 72.7615 0.10465 0.3256 1.1622 1.4513 0.695 0.695 1 1 0.228 0 0.6 0 56912.1115 56912.1115 98.2544 0.6 5.0496 0 0 0 1 inc 0 
9 7 90.6099 72.7615 0.1709 0.3256 1.2887 1.4513 0.695 0.695 1 1 0.228 0 0.6 0 36646.4667 -36646.4667 90.6099 0.6 5.0496 0 0 0 1 inc 1 
9 8 84.4095 105.9902 0.22464 0.037599 1.3613 0.94506 1.465 1.465 1 1 0.228 0 0.6 0 43702.6255 -43702.6255 84.4095 0.6 5.0496 0 0 0 1 con 1 
9 9 97.0553 105.9902 0.11504 0.037599 1.1858 0.94506 1.465 1.465 1 1 0.228 0 0.6 0 78337.6384 78337.6384 97.0553 0.6 5.0496 0 0 0 1 con 0 
9 10 102.4329 61.0808 0.0847 0.4431 1.1116 1.5005 0.695 0.695 1 1 0.152 -0.077 0.4 0.2 4220.7658 4220.7658 102.4329 0.6 3.1422 0.030455 0.4 -5.5511e-17 1 inc 1 
