id LogIdx EVCs(:,1) EVCs(:,2) ERs(:,1) ERs(:,2) RTs(:,1) RTs(:,2) ExpectedStateParam ActualStateParam ControlParamType_1 ControlParamType_2 ControlParamVal_1 ControlParamVal_2 CtrlIntensities_1 CtrlIntensities_2 ACC_HypotheticalBOLD_1 ACC_HypotheticalBOLD_2 ACC_HypotheticalBOLD_3 ACC_HypotheticalBOLD_4 ACC_HypotheticalBOLD_5 ACC_HypotheticalBOLD_6 ACC_HypotheticalBOLD_7 ACC_HypotheticalBOLD_8 TrialType TrialDescr condition 
4 1 108.2277 55.4582 0.047537 0.5049 0.98861 1.506 0.695 0.695 1 1 0.076 -0.077 0.2 0.2 0 0 108.2277 0.4 1.6442 0.02144 0.2 -0.2 1 inc 1 
4 2 99.1458 105.9417 0.0965 0.037599 1.1425 0.94506 1.465 1.465 1 1 0.228 0 0.6 0 1973.2974 -1973.2974 99.1458 0.6 5.0496 0.048577 0.6 0.2 1 con -1 
4 3 103.6261 107.8808 0.074358 0.037481 1.0819 0.9445 1.465 1.465 1 1 0.152 0.077 0.4 0.2 1538.9645 1538.9176 103.6261 0.6 3.1422 0.030455 0.4 -5.5511e-17 1 con 0 
4 4 105.6916 107.9113 0.056719 0.037481 1.0238 0.9445 1.465 1.465 1 1 0.152 0.077 0.4 0.2 303.0007 258.2953 105.6916 0.6 3.1422 0 0 0 1 con 1 
4 5 106.6936 55.4582 0.060832 0.5049 1.0383 1.506 0.695 0.695 1 1 0.076 -0.077 0.2 0.2 88.316 88.316 106.6936 0.4 1.6442 0.02144 0.2 -0.2 1 inc 0 
4 6 97.7639 72.7129 0.10848 0.3256 1.1711 1.4513 0.695 0.695 1 1 0.228 0 0.6 0 3458.7501 -3458.7501 97.7639 0.6 5.0496 0.048577 0.6 0.2 1 inc 0 
4 7 90.2121 105.9902 0.17435 0.037599 1.294 0.94506 1.465 1.465 1 1 0.228 0 0.6 0 38923.7266 -38829.3847 90.2121 0.6 5.0496 0 0 0 1 con 0 
4 8 99.1269 72.7615 0.097085 0.3256 1.1439 1.4513 0.695 0.695 1 1 0.228 0 0.6 0 40419.6331 40419.6331 99.1269 0.6 5.0496 0 0 0 1 inc 0 
4 9 91.4147 72.7615 0.16393 0.3256 1.2777 1.4513 0.695 0.695 1 1 0.228 0 0.6 0 31787.2727 -31787.2727 91.4147 0.6 5.0496 0 0 0 1 inc 1 
4 10 85.008 72.7615 0.21946 0.3256 1.3551 1.4513 0.695 0.695 1 1 0.228 0 0.6 0 45430.1625 -45430.1625 85.008 0.6 5.0496 0 0 0 1 inc 0 
4 11 80.6377 101.9205 0.21404 0.029581 1.3486 0.90409 1.465 1.465 1 1 0.304 0 0.8 0 29355.955 -29355.955 80.6377 0.8 10.0232 0.02144 0.2 0.2 1 con 1 
4 12 95.6638 72.7401 0.12691 0.3256 1.2107 1.4513 0.695 0.695 1 1 0.228 0 0.6 0 99749.38 99749.38 95.6638 0.6 5.0496 0.02144 0.2 -0.2 1 inc 1 
4 13 88.3775 72.7615 0.19025 0.3256 1.3173 1.4513 0.695 0.695 1 1 0.228 0 0.6 0 46843.5525 -46843.5525 88.3775 0.6 5.0496 0 0 0 1 inc 0 
4 14 82.7975 72.7615 0.23861 0.3256 1.377 1.4513 0.695 0.695 1 1 0.228 0 0.6 0 38206.2152 -38206.2152 82.7975 0.6 5.0496 0 0 0 1 inc 1 
4 15 79.35 101.9205 0.2252 0.029581 1.3619 0.90409 1.465 1.465 1 1 0.304 0 0.8 0 23611.4078 -23611.4078 79.35 0.8 10.0232 0.02144 0.2 0.2 1 con 1 
4 16 95.1569 105.9688 0.13131 0.037599 1.2195 0.94506 1.465 1.465 1 1 0.228 0 0.6 0 106618.2074 106618.2074 95.1569 0.6 5.0496 0.02144 0.2 -0.2 1 con 0 
4 17 101.4167 107.8808 0.093507 0.037481 1.1349 0.9445 1.465 1.465 1 1 0.152 0.077 0.4 0.2 10016.6718 9933.0461 101.4167 0.6 3.1422 0.030455 0.4 -5.5511e-17 1 con 1 
4 18 104.7015 61.1112 0.065301 0.4431 1.0534 1.5005 0.695 0.695 1 1 0.152 -0.077 0.4 0.2 648.6783 606.0379 104.7015 0.6 3.1422 0 0 0 1 inc 1 
4 19 95.8577 72.7311 0.12516 0.3256 1.2071 1.4513 0.695 0.695 1 1 0.228 0 0.6 0 7833.7832 -7833.7832 95.8577 0.6 5.0496 0.030455 0.4 5.5511e-17 1 inc 1 
4 20 88.5473 105.9902 0.18878 0.037599 1.3152 0.94506 1.465 1.465 1 1 0.228 0 0.6 0 46312.5763 -46286.9369 88.5473 0.6 5.0496 0 0 0 1 con 1 
